;WT;RIC;EBV_d2;EBV_d4;EBV_d7;EBV_d14
GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS;0;1;0;0;0;0
GOBP_DEVELOPMENTAL_MATURATION;0;1;0;0;0;0
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_DIENCEPHALON_DEVELOPMENT;0;1;0;0;0;0
GOBP_DIGESTION;0;1;0;0;0;0
GOBP_DIGESTIVE_SYSTEM_PROCESS;0;1;0;0;0;0
GOBP_DIOL_BIOSYNTHETIC_PROCESS;0;0;1;1;1;1
GOBP_DIOL_METABOLIC_PROCESS;0;0;1;0;0;0
GOBP_DNA_BIOSYNTHETIC_PROCESS;1;0;1;1;1;1
GOBP_DNA_CONFORMATION_CHANGE;1;1;1;1;1;1
GOBP_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR;1;1;0;0;0;0
GOBP_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR_RESULTING_IN_CELL_CYCLE_ARREST;1;0;0;0;0;0
GOBP_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_RESULTING_IN_TRANSCRIPTION;0;0;0;0;1;0
GOBP_DNA_DEALKYLATION;0;0;0;1;1;1
GOBP_DNA_DEPENDENT_DNA_REPLICATION;0;1;1;1;1;1
GOBP_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY;0;0;1;1;1;1
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING;0;0;1;1;1;1
GOBP_DNA_GEOMETRIC_CHANGE;0;1;1;1;1;1
GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING;0;0;1;1;1;1
GOBP_DNA_LIGATION;0;0;1;1;0;0
GOBP_DNA_PACKAGING;1;1;1;1;1;0
GOBP_DNA_RECOMBINATION;0;0;1;1;1;1
GOBP_DNA_REPLICATION;1;1;1;1;1;1
GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING;0;1;1;1;1;1
GOBP_DNA_REPLICATION_DEPENDENT_CHROMATIN_ORGANIZATION;0;0;0;1;1;0
GOBP_DNA_REPLICATION_INDEPENDENT_CHROMATIN_ORGANIZATION;1;1;1;1;1;1
GOBP_DNA_REPLICATION_INITIATION;0;1;1;1;1;1
GOBP_DNA_STRAND_ELONGATION;0;1;1;1;1;1
GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION;1;1;1;1;1;1
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR;0;0;1;0;1;0
GOBP_DNA_UNWINDING_INVOLVED_IN_DNA_REPLICATION;1;1;1;1;1;1
GOBP_DOUBLE_STRAND_BREAK_REPAIR;0;0;1;1;1;1
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING;0;0;1;1;0;0
GOBP_EAR_DEVELOPMENT;0;1;0;0;0;0
GOBP_EAR_MORPHOGENESIS;0;1;0;0;0;0
GOBP_ELECTRON_TRANSPORT_CHAIN;1;0;1;1;1;1
GOBP_EMBRYONIC_AXIS_SPECIFICATION;0;1;0;0;0;0
GOBP_EMBRYONIC_DIGIT_MORPHOGENESIS;0;1;0;0;0;0
GOBP_EMBRYONIC_MORPHOGENESIS;0;1;0;0;0;0
GOBP_EMBRYONIC_ORGAN_DEVELOPMENT;0;1;0;0;0;0
GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS;0;1;0;0;0;0
GOBP_EMBRYONIC_PATTERN_SPECIFICATION;0;1;0;0;0;0
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT;0;0;0;0;0;1
GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE;0;0;0;0;0;1
GOBP_ENDOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY;1;0;0;0;0;0
GOBP_ENDOTHELIAL_CELL_MIGRATION;0;1;0;0;0;0
GOBP_ENDOTHELIAL_CELL_PROLIFERATION;0;1;0;0;0;0
GOBP_ENDOTHELIUM_DEVELOPMENT;0;1;0;0;0;0
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS;1;1;1;1;1;1
